TOWN,BLOCK,ADDRESS,POSTAL_CODE,LATITUDE,LONGITUDE,MAX_FLOOR,SUBZONE,PLANNING_AREA,REGION,DIST_NEAREST_HAWKER_WALK,DIST_NEAREST_MRT_WALK,DIST_NEAREST_PRI_SCH_WALK,DIST_NEAREST_SEC_SCH_WALK,DIST_NEAREST_MALL_WALK
sengkang,411A,fernvale road,791411,1.390548,103.876909,25,fernvale,sengkang,north-east region,4199.5,2480.2,444.2,583.2,316.3
bedok,533,bedok north street 3,460533,1.33358,103.924219,13,bedok north,bedok,east region,891.9,1011.4,1022.5,842.4,1720.0
punggol,271B,punggol walk,822271,1.404171,103.900581,16,matilda,punggol,north-east region,6481.0,374.8,389.0,836.8,534.9
yishun,509C,yishun avenue 4,763509,1.414303,103.840417,13,lower seletar,yishun,north region,2963.6,1001.7,417.1,362.5,2041.8
bukit panjang,119,pending road,670119,1.376538,103.769042,4,jelebu,bukit panjang,west region,5371.9,1407.3,735.8,849.2,1477.8
yishun,672C,yishun avenue 4,763672,1.418361,103.842651,13,yishun south,yishun,north region,2817.8,1486.2,513.6,634.9,1687.9
sengkang,304A,anchorvale link,541304,1.387892,103.888922,16,anchorvale,sengkang,north-east region,4320.5,1019.8,657.1,317.7,1163.6
tampines,168B,simei lane,522168,1.342612,103.958768,12,simei,tampines,east region,2727.8,418.4,1621.9,1730.7,1372.2
central area,34,upper cross street,050034,1.286235,103.842303,20,pearl's hill,outram,central region,530.9,275.8,1365.7,785.5,290.8
queenstown,21,ghim moh road,270021,1.310103,103.788546,10,ghim moh,queenstown,central region,385.9,759.8,1376.2,1673.9,648.1
choa chu kang,433,choa chu kang avenue 4,680433,1.384931,103.741772,12,peng siang,choa chu kang,west region,5745.7,456.1,964.1,700.5,2522.0
choa chu kang,134,teck whye lane,680134,1.380266,103.750957,15,teck whye,choa chu kang,west region,5332.6,1129.8,661.7,932.5,1424.9
sengkang,257A,compassvale road,541257,1.392386,103.897648,15,sengkang town centre,sengkang,north-east region,4671.2,447.9,568.4,551.0,404.7
kallang/whampoa,15,upper boon keng road,380015,1.315873,103.871296,16,boon keng,kallang,central region,220.4,696.7,1203.1,1820.6,2122.2
jurong west,610,jurong west street 65,640610,1.338325,103.700856,15,jurong west central,jurong west,west region,1899.0,564.6,421.6,539.3,763.7
bukit panjang,482,segar road,670482,1.389161,103.772292,16,fajar,bukit panjang,west region,6448.0,2254.8,719.6,891.5,2273.8
toa payoh,99B,lorong 2 toa payoh,311099,1.338745,103.847253,13,braddell,toa payoh,central region,480.2,363.8,484.9,946.0,1000.6
pasir ris,636,pasir ris drive 1,510636,1.37679,103.940742,13,pasir ris west,pasir ris,east region,5038.0,1013.0,166.4,2345.5,2318.0
woodlands,517,woodlands drive 14,730517,1.43383,103.79168,12,woodlands south,woodlands,north region,1883.3,1055.3,425.3,1217.2,1057.5
sengkang,188B,rivervale drive,542188,1.394541,103.905459,17,rivervale,sengkang,north-east region,5293.7,1629.3,319.9,887.3,1586.2
hougang,410,hougang avenue 10,530410,1.373886,103.894682,4,hougang east,hougang,north-east region,2313.5,650.3,733.8,506.5,242.7
kallang/whampoa,681,race course road,210681,1.313721,103.855273,12,lavender,kallang,central region,777.8,236.5,770.0,1320.3,494.3
bedok,159,bedok south avenue 3,460159,1.319046,103.945624,13,bedok south,bedok,east region,1418.4,726.6,431.5,753.4,2683.2
queenstown,92,commonwealth drive,140092,1.305732,103.800254,10,commonwealth,queenstown,central region,245.6,563.4,840.0,847.0,1145.1
sengkang,272A,sengkang central,541272,1.385262,103.893959,15,compassvale,sengkang,north-east region,3816.0,426.3,713.6,790.5,931.5
jurong west,259,boon lay drive,640259,1.345514,103.708636,15,boon lay place,jurong west,west region,620.9,1017.8,839.7,189.3,1095.1
tampines,364,tampines street 34,520364,1.356938,103.959873,10,tampines east,tampines,east region,2748.1,700.0,641.7,225.0,1429.4
hougang,441,hougang avenue 8,530441,1.378453,103.89394,4,hougang east,hougang,north-east region,3154.8,1140.3,604.2,1022.3,1024.7
choa chu kang,296E,choa chu kang avenue 2,685296,1.376917,103.743047,15,keat hong,choa chu kang,west region,4949.4,769.0,381.1,1188.0,2408.7
bishan,292,bishan street 22,570292,1.356017,103.845668,24,marymount,bishan,central region,1324.7,776.8,1102.5,100.1,871.3
woodlands,612,woodlands avenue 4,730612,1.435082,103.796733,12,woodlands east,woodlands,north region,2237.4,1060.3,387.9,878.9,1393.9
jurong west,446,jurong west street 42,640446,1.352216,103.719556,4,hong kah,jurong west,west region,568.1,1128.7,779.9,706.5,2700.4
bukit panjang,543,jelapang road,670543,1.382495,103.764046,19,saujana,bukit panjang,west region,5705.5,867.4,792.1,827.6,887.5
yishun,605,yishun street 61,760605,1.421726,103.836336,13,yishun south,yishun,north region,2134.4,999.0,1059.4,549.2,1080.5
central area,672B,klang lane,212672,1.309037,103.852848,19,farrer park,rochor,central region,574.0,457.0,770.5,984.0,419.9
yishun,630,yishun street 61,760630,1.418019,103.837784,12,yishun south,yishun,north region,2425.4,670.4,547.5,362.1,1437.8
central area,637,veerasamy road,200637,1.307028,103.855528,13,little india,rochor,central region,225.3,245.3,1171.8,562.2,488.2
choa chu kang,5,teck whye avenue,680005,1.382114,103.753565,13,teck whye,choa chu kang,west region,5554.6,1223.4,410.7,227.2,1057.4
jurong west,519,jurong west street 52,640519,1.345538,103.717583,4,hong kah,jurong west,west region,765.4,610.4,540.6,860.5,1550.0
choa chu kang,484A,choa chu kang avenue 5,681484,1.376685,103.736818,16,peng siang,choa chu kang,west region,5228.0,405.4,413.6,737.8,3031.4
sembawang,503C,canberra link,753503,1.450538,103.822941,13,admiralty,sembawang,north region,2652.0,424.2,701.8,1312.9,568.5
jurong west,508,jurong west street 52,640508,1.348727,103.718715,4,hong kah,jurong west,west region,136.3,780.9,388.5,719.0,2270.5
woodlands,129,marsiling rise,730129,1.437811,103.778702,10,woodlands west,woodlands,north region,1543.5,1324.3,1598.2,1455.9,1292.6
tampines,413,tampines street 41,520413,1.359459,103.945575,4,tampines east,tampines,east region,2059.4,717.8,637.3,953.9,958.3
woodlands,519,woodlands drive 14,730519,1.434589,103.791963,12,woodlands south,woodlands,north region,1899.9,1071.9,441.9,1233.8,1074.1
jurong west,664C,jurong west street 64,643664,1.338211,103.703156,16,jurong west central,jurong west,west region,1755.5,342.3,557.8,751.1,468.9
serangoon,231,serangoon avenue 3,550231,1.355018,103.868368,12,serangoon central,serangoon,north-east region,1591.1,1135.6,979.1,950.3,784.3
jurong west,667C,jurong west street 65,643667,1.341148,103.702296,16,jurong west central,jurong west,west region,1544.0,655.3,710.6,196.2,751.5
yishun,763,yishun street 72,760763,1.425362,103.834546,4,yishun west,yishun,north region,1299.8,494.0,715.1,1045.6,623.4
sembawang,316,sembawang vista,750316,1.446343,103.820817,16,sembawang central,sembawang,north region,2539.1,618.5,556.9,876.9,474.2
sengkang,311C,anchorvale lane,543311,1.391571,103.884436,18,anchorvale,sengkang,north-east region,4785.9,1477.6,540.9,919.3,1019.9
tampines,803,tampines avenue 4,520803,1.345198,103.937689,9,tampines west,tampines,east region,1352.7,156.3,425.9,636.9,1264.1
kallang/whampoa,108,mcnair road,321108,1.321619,103.859383,15,bendemeer,kallang,central region,855.8,651.1,401.0,698.5,1545.1
bukit merah,120,bukit merah view,152120,1.282774,103.822612,16,henderson hill,bukit merah,central region,518.6,830.4,769.4,952.1,873.4
punggol,314A,punggol way,821314,1.408262,103.898018,18,punggol town centre,punggol,north-east region,6612.4,902.9,471.8,545.8,774.0
pasir ris,219,pasir ris street 21,510219,1.369264,103.961693,12,pasir ris drive,pasir ris,east region,4334.9,950.5,453.6,125.5,905.4
woodlands,703,woodlands drive 40,730703,1.440957,103.796577,12,woodlands east,woodlands,north region,2473.2,870.7,603.4,380.6,1627.0
jurong west,263,boon lay drive,640263,1.344942,103.707024,15,boon lay place,jurong west,west region,993.6,1413.7,1213.1,585.2,1491.0
tampines,604B,tampines avenue 9,522604,1.361407,103.935627,16,tampines north,tampines,east region,3210.8,1549.0,946.2,1424.8,1896.6
toa payoh,7,upper aljunied lane,360007,1.334715,103.878708,18,joo seng,toa payoh,central region,1629.7,1285.9,473.9,774.3,2743.1
choa chu kang,282,choa chu kang avenue 3,680282,1.380254,103.743214,13,keat hong,choa chu kang,west region,5307.9,522.0,420.3,988.6,2361.3
bukit panjang,533,bukit panjang ring road,670533,1.384956,103.763765,24,saujana,bukit panjang,west region,5934.0,1095.9,682.8,510.2,1115.9
bedok,70,bedok south road,460070,1.319969,103.942819,16,bedok south,bedok,east region,1099.4,720.1,668.6,596.2,2365.2
jurong west,679C,jurong west central 1,643679,1.343923,103.706396,15,jurong west central,jurong west,west region,922.5,627.6,941.6,334.4,832.9
sembawang,360B,admiralty drive,752360,1.448738,103.815232,16,sembawang central,sembawang,north region,3150.3,617.1,965.8,810.1,572.8
tampines,938,tampines avenue 5,520938,1.347904,103.941725,9,tampines west,tampines,east region,1404.6,728.3,412.8,669.8,801.5
queenstown,55,strathmore avenue,140055,1.293383,103.809331,20,margaret drive,queenstown,central region,1031.3,552.7,478.0,471.9,1316.7
serangoon,261,serangoon central drive,550261,1.354053,103.872524,4,serangoon central,serangoon,north-east region,1658.8,792.4,1010.1,806.1,514.7
bukit panjang,530,jelapang road,670530,1.384715,103.765271,23,saujana,bukit panjang,west region,6217.6,1379.5,770.6,566.4,1399.6
tampines,128,simei street 1,520128,1.346901,103.954856,4,simei,tampines,east region,1680.3,558.2,996.6,1129.5,764.8
tampines,381,tampines street 32,520381,1.354019,103.958966,12,tampines east,tampines,east region,2389.1,848.6,616.6,442.2,1082.8
punggol,406B,northshore drive,822406,1.416412,103.901127,24,northshore,punggol,north-east region,7642.6,1400.4,475.0,1644.5,1418.1
bukit merah,8,kim tian place,163008,1.28303,103.827237,25,tiong bahru station,bukit merah,central region,731.0,618.5,454.1,1395.4,636.2
punggol,672A,edgefield plains,821672,1.406414,103.91262,16,waterway east,punggol,north-east region,6990.9,1260.9,294.7,648.7,659.2
tampines,347,tampines street 33,520347,1.35188,103.963114,10,tampines east,tampines,east region,2899.4,1370.5,288.3,721.0,1657.2
jurong west,365,corporation drive,610365,1.337726,103.720185,10,taman jurong,jurong west,west region,533.9,1341.7,356.7,1088.9,1968.0
woodlands,415,woodlands street 41,730415,1.427906,103.774008,13,woodgrove,woodlands,north region,1253.8,1059.4,655.9,850.9,1957.5
pasir ris,158,pasir ris street 13,510158,1.364675,103.962236,9,pasir ris drive,pasir ris,east region,3692.9,669.3,536.1,1060.9,624.2
clementi,606,clementi west street 1,120606,1.304854,103.76799,22,clementi woods,clementi,west region,490.1,1521.6,1868.7,489.6,320.6
tampines,230E,tampines street 24,528230,1.356092,103.951045,12,tampines east,tampines,east region,2215.8,462.4,265.1,548.4,642.2
kallang/whampoa,60,geylang bahru,330060,1.322821,103.869178,21,geylang bahru,kallang,central region,456.9,477.7,857.3,1339.7,2569.0
tampines,915,tampines street 91,520915,1.348606,103.939564,13,tampines west,tampines,east region,1760.6,464.9,195.9,311.0,923.3
clementi,312A,clementi avenue 4,121312,1.319089,103.764441,40,clementi north,clementi,west region,817.3,508.0,625.5,826.5,631.0
jurong west,918,jurong west street 91,640918,1.340579,103.687171,4,yunnan,jurong west,west region,3700.6,1587.0,205.7,171.8,1536.2
tampines,159,simei road,520159,1.344802,103.959862,4,simei,tampines,east region,2470.1,492.1,1523.9,1632.8,1274.2
kallang/whampoa,83,whampoa drive,320083,1.323575,103.857035,20,balestier,novena,central region,312.1,1132.3,631.4,714.6,1955.2
hougang,698D,hougang street 52,538698,1.375637,103.888739,18,hougang west,hougang,north-east region,2717.5,1207.8,736.3,560.9,1127.5
hougang,471A,upper serangoon crescent,531471,1.378145,103.901767,18,hougang east,hougang,north-east region,3058.1,1532.2,973.6,609.7,1382.6
sengkang,292B,compassvale street,542292,1.395399,103.898745,15,sengkang town centre,sengkang,north-east region,5153.8,831.3,461.5,325.7,788.1
toa payoh,52,lorong 6 toa payoh,310052,1.338249,103.852482,12,boon teck,toa payoh,central region,323.6,984.1,732.7,544.8,1311.8
sengkang,308A,anchorvale road,541308,1.389895,103.88592,17,anchorvale,sengkang,north-east region,4840.9,1366.7,200.4,736.5,1296.7
bukit merah,6,jalan bukit ho swee,161006,1.287639,103.831443,9,bukit ho swee,bukit merah,central region,319.9,363.5,1058.1,1318.9,787.9
bedok,720,bedok reservoir road,470720,1.335973,103.924883,11,bedok reservoir,bedok,east region,971.1,1090.6,848.3,538.0,1799.2
yishun,780,yishun ring road,760780,1.422139,103.832883,4,khatib,yishun,north region,1849.6,926.5,1034.6,856.8,1390.0
jurong west,353,kang ching road,610353,1.339636,103.720528,11,taman jurong,jurong west,west region,1025.0,1274.4,548.0,935.0,2129.3
ang mo kio,649,ang mo kio avenue 5,560649,1.377763,103.843782,13,yio chu kang west,ang mo kio,north-east region,833.5,648.4,344.3,749.0,1313.9
punggol,259C,punggol field,823259,1.404534,103.895666,17,matilda,punggol,north-east region,6351.7,1236.0,774.9,654.2,1288.4
central area,1C,cantonment road,085301,1.277449,103.841667,50,chinatown,outram,central region,451.7,670.5,413.9,1637.3,786.8
bukit merah,45,telok blangah drive,100045,1.271757,103.80956,16,telok blangah drive,bukit merah,central region,419.2,175.7,1096.5,2156.1,1164.5
choa chu kang,526,choa chu kang street 51,680526,1.391354,103.741893,9,choa chu kang north,choa chu kang,west region,6893.3,1156.6,664.4,564.9,3162.7
woodlands,684D,woodlands drive 73,734684,1.441358,103.804508,14,woodlands east,woodlands,north region,3524.7,714.0,612.6,756.9,2302.7
serangoon,335,serangoon avenue 3,550335,1.349442,103.871068,12,serangoon central,serangoon,north-east region,1851.0,720.8,496.9,518.6,397.6
ang mo kio,417,ang mo kio avenue 10,560417,1.36496,103.855197,14,chong boon,ang mo kio,north-east region,329.2,994.4,595.1,321.1,1043.7
punggol,174A,edgedale plains,821174,1.396378,103.911281,17,punggol field,punggol,north-east region,5804.9,850.5,126.8,91.4,444.1
tampines,295,tampines street 22,520295,1.35078,103.955,12,tampines east,tampines,east region,1664.9,861.9,579.1,751.9,742.5
serangoon,237,serangoon avenue 3,550237,1.353812,103.870135,11,serangoon central,serangoon,north-east region,1476.1,1020.5,864.0,835.2,669.2
toa payoh,178,toa payoh central,310178,1.33358,103.849265,4,toa payoh central,toa payoh,central region,439.6,286.2,715.2,998.3,541.6
ang mo kio,419,ang mo kio avenue 10,560419,1.365347,103.854152,12,chong boon,ang mo kio,north-east region,454.2,869.4,470.1,196.2,918.7
pasir ris,637,pasir ris drive 1,510637,1.376783,103.940314,13,pasir ris west,pasir ris,east region,5070.2,1045.2,198.6,2377.7,2350.2
sengkang,225A,compassvale walk,541225,1.38765,103.898706,14,sengkang town centre,sengkang,north-east region,4457.0,995.0,584.7,744.5,1038.1
hougang,247,hougang avenue 3,530247,1.359166,103.891524,13,lorong ah soo,hougang,north-east region,942.1,1103.9,964.7,940.6,1313.2
queenstown,82,commonwealth close,140082,1.304221,103.8004,16,commonwealth,queenstown,central region,709.2,555.9,705.3,721.5,1623.4
queenstown,182,stirling road,140182,1.295383,103.804962,13,mei chin,queenstown,central region,721.7,334.1,419.9,882.3,1341.1
yishun,762,yishun street 72,760762,1.425687,103.834008,12,yishun west,yishun,north region,1285.3,545.7,700.6,1031.1,675.2
yishun,705,yishun avenue 5,760705,1.429095,103.829512,4,yishun west,yishun,north region,470.3,837.7,355.1,498.8,994.0
tampines,256,tampines street 21,522256,1.353236,103.949947,10,tampines east,tampines,east region,1679.9,894.9,394.7,125.3,442.7
bedok,550,bedok north avenue 1,460550,1.332693,103.926617,12,bedok north,bedok,east region,558.0,1150.9,749.1,966.7,1355.7
jurong east,31,teban gardens road,600031,1.320308,103.738968,12,teban gardens,jurong east,west region,627.2,963.4,2440.7,1250.5,2650.1
toa payoh,84B,lorong 2 toa payoh,312084,1.335765,103.846803,25,toa payoh central,toa payoh,central region,457.1,478.2,236.4,970.3,488.1
clementi,317,clementi avenue 4,120317,1.318038,103.764519,12,clementi north,clementi,west region,673.3,364.0,481.5,682.5,487.0
yishun,402,yishun ring road,760402,1.42655,103.847265,12,yishun east,yishun,north region,2861.7,1977.4,181.2,1041.5,1801.6
bukit batok,289B,bukit batok street 25,651289,1.343867,103.760535,16,bukit batok south,bukit batok,west region,2448.8,1712.7,659.1,1213.7,1855.9
clementi,711,clementi west street 2,120711,1.304844,103.761107,12,clementi west,clementi,west region,1005.4,926.3,1344.2,947.3,1047.9
hougang,621,hougang avenue 8,530621,1.369918,103.883193,4,hougang west,hougang,north-east region,1756.0,1246.4,674.5,725.0,1622.7
yishun,723,yishun street 71,760723,1.42602,103.829939,13,yishun west,yishun,north region,1091.0,1029.6,292.9,446.5,1101.8
kallang/whampoa,114,lorong 3 geylang,381114,1.311499,103.874032,10,kampong bugis,kallang,central region,675.3,427.1,1776.8,1415.4,1541.5
ang mo kio,434,ang mo kio avenue 10,560434,1.367892,103.853455,12,chong boon,ang mo kio,north-east region,524.5,1014.2,938.6,671.4,1070.2
ang mo kio,614,ang mo kio avenue 4,560614,1.377969,103.839217,13,yio chu kang west,ang mo kio,north-east region,545.8,849.1,861.4,855.8,1949.9
clementi,462,clementi avenue 3,120462,1.311099,103.765906,25,clementi central,clementi,west region,398.2,637.7,649.0,735.9,573.5
bukit panjang,627,senja road,670627,1.385535,103.759378,30,senja,bukit panjang,west region,6136.7,1219.8,442.1,461.7,992.4
woodlands,872,woodlands street 81,730872,1.444087,103.789812,12,midview,woodlands,north region,1997.5,1095.8,304.4,527.3,1372.6
bedok,210,new upper changi road,460210,1.324597,103.931871,4,bedok north,bedok,east region,302.8,212.8,661.3,1519.1,515.5
bedok,111,bedok reservoir road,470111,1.329808,103.910094,4,kaki bukit,bedok,east region,943.5,726.7,218.2,1609.9,2952.8
jurong west,549,jurong west street 42,640549,1.352914,103.716073,11,hong kah,jurong west,west region,734.3,1155.8,889.4,847.6,2407.8
jurong west,440,jurong west avenue 1,640440,1.351311,103.722836,8,hong kah,jurong west,west region,1282.7,1525.2,1141.8,383.6,3291.2
serangoon,326,serangoon avenue 3,550326,1.350352,103.868997,4,serangoon central,serangoon,north-east region,1667.0,775.4,285.5,307.2,440.4
sengkang,163A,rivervale crescent,541163,1.389559,103.908817,18,rivervale,sengkang,north-east region,4796.2,1338.0,708.9,1017.3,1027.6
bedok,713,bedok reservoir road,470713,1.336312,103.922392,9,bedok reservoir,bedok,east region,1347.7,912.8,540.8,887.5,2175.7
kallang/whampoa,682,race course road,210682,1.314278,103.855646,12,lavender,kallang,central region,835.0,400.9,827.2,1491.0,684.2
sembawang,327,sembawang crescent,750327,1.445664,103.819022,15,sembawang central,sembawang,north region,2488.9,608.5,333.8,466.5,464.2
ang mo kio,458,ang mo kio avenue 10,560458,1.366568,103.859627,25,chong boon,ang mo kio,north-east region,603.2,674.0,1367.0,1195.7,1604.8
ang mo kio,306,ang mo kio avenue 1,560306,1.365726,103.845751,16,townsville,ang mo kio,north-east region,644.2,324.2,648.0,581.2,717.9
sengkang,126,rivervale street,540126,1.38906,103.902401,17,rivervale,sengkang,north-east region,4663.8,1319.9,540.4,702.3,1276.7
ang mo kio,313,ang mo kio avenue 3,560313,1.36665,103.850134,12,townsville,ang mo kio,north-east region,734.6,681.8,262.9,434.6,687.9
jurong west,637,jurong west street 61,640637,1.341567,103.69797,16,jurong west central,jurong west,west region,2096.3,683.7,402.1,660.1,200.3
